Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
52;Matias Zagazeta;20:04:53.294;2:05:34.879;Matias Zagazeta;20:06:20.299;2:07:01.884;1:27.005;;61
48;Maro Engel;20:04:54.753;2:05:36.338;Luca Stolz;20:06:21.453;2:07:03.038;1:26.700;;62
992;Ashley Sutton;20:05:01.536;2:05:43.121;Christian Hahn;20:06:29.405;2:07:10.990;1:27.869;;61
42;Ahmad Al Harthy;20:05:02.694;2:05:44.279;Javier Sagrera;20:06:30.896;2:07:12.481;1:28.202;;61
80;Thomas Preining;20:05:07.069;2:05:48.654;Ricardo Feller;20:06:33.678;2:07:15.263;1:26.609;;62
74;Dustin Blattner;20:05:19.408;2:06:00.993;Lorenzo Patrese;20:06:46.605;2:07:28.190;1:27.197;;61
17;Maxime Martin;20:05:23.408;2:06:04.993;Maximilian Götz;20:06:50.007;2:07:31.592;1:26.599;;62
222;Charles Dawson;20:05:46.520;2:06:28.105;Reece Barr;20:07:17.679;2:07:59.264;1:31.159;;61
111;James Kell;20:05:47.172;2:06:28.757;Arthur Rougier;20:07:13.710;2:07:55.295;1:26.538;;62
64;Arjun Maini;20:05:48.774;2:06:30.359;Thomas Drouet;20:07:15.592;2:07:57.177;1:26.818;;62
54;Tanart Sathienthirakul;20:05:53.161;2:06:34.746;Francesco Simonazzi;20:07:26.180;2:08:07.765;1:33.019;;61
998;Tim Tramnitz;20:06:06.759;2:06:48.344;Tim Tramnitz;20:07:39.446;2:08:21.031;1:32.687;;62
5;Guilherme Oliveira;20:06:08.087;2:06:49.672;Guilherme Oliveira;20:07:36.469;2:08:18.054;1:28.382;;62
51;Nicklas Nielsen;20:06:08.978;2:06:50.563;Tommaso Mosca;20:07:38.519;2:08:20.104;1:29.541;;62
23;Horatio Fitz-Simon;20:06:12.807;2:06:54.392;Horatio Fitz-Simon;20:08:23.141;2:09:04.726;2:10.334;;61
96;Marco Mapelli;20:06:31.492;2:07:13.077;Patric Niederhauser;20:07:59.758;2:08:41.343;1:28.266;;61
6;Cesar Gazeau;20:06:42.028;2:07:23.613;Anthony Bartone;20:08:09.731;2:08:51.316;1:27.703;;62
35;Ethan Ischer;20:07:05.868;2:07:47.453;Ethan Ischer;20:08:33.394;2:09:14.979;1:27.526;;62
3;Jules Gounon;20:07:09.633;2:07:51.218;Jules Gounon;20:08:36.793;2:09:18.378;1:27.160;;63
91;Ralf Bohn;20:07:11.178;2:07:52.763;Robert Renauer;20:08:39.301;2:09:20.886;1:28.123;;62
58;Louis Prette;20:07:19.888;2:08:01.473;Benjamin Goethe;20:08:46.992;2:09:28.577;1:27.104;;63
991;Darren Leung;20:07:27.258;2:08:08.843;Darren Leung;20:08:54.829;2:09:36.414;1:27.571;;62
71;Malte Ebdrup;20:08:04.445;2:08:46.030;Malte Ebdrup;20:09:46.421;2:10:28.006;1:41.976;;63
63;Maximilian Paul;20:08:06.833;2:08:48.418;Franck Perera;20:09:57.160;2:10:38.745;1:50.327;;62
12;Gabriel Rindone;20:08:48.726;2:09:30.311;Tom Kalender;20:10:49.248;2:11:30.833;2:00.522;;62
914;Dominik Olbert;20:09:16.483;2:09:58.068;Dominik Olbert;20:09:55.172;2:10:36.757;38.689;;62
60;Rolf Ineichen;20:14:18.836;2:15:00.421;Chandler Hull;20:15:48.942;2:16:30.527;1:30.106;;65
67;Scott Noble;20:14:43.423;2:15:25.008;Jason Hart;20:17:53.817;2:18:35.402;3:10.394;;62
2;Dorian Boccolacci;20:17:49.036;2:18:30.621;Morris Schuring;20:19:18.744;2:20:00.329;1:29.708;;68
87;Rinat Salikhov;20:19:36.153;2:20:17.738;Gabriele Piana;20:21:04.536;2:21:46.121;1:28.383;;68
4;Harry George;20:37:42.164;2:38:23.749;Adam Smalley;20:39:45.439;2:40:27.024;2:03.275;;73
97;Riccardo Pera;20:55:09.954;2:55:51.539;Riccardo Pera;20:56:37.468;2:57:19.053;1:27.514;;86
6;Anthony Bartone;20:55:41.036;2:56:22.621;Aurelien Panis;20:57:25.397;2:58:06.982;1:44.361;;86
46;Valentino Rossi;20:56:00.800;2:56:42.385;Daniel Harper;20:57:27.095;2:58:08.680;1:26.295;;87
7;Nicki Thiim;20:56:58.487;2:57:40.072;Mattia Drudi;20:58:24.997;2:59:06.582;1:26.510;;88
177;Stephane Tribaudini;20:57:03.654;2:57:45.239;Stephane Tribaudini;20:59:51.696;3:00:33.281;2:48.042;;83
59;Dean Macdonald;20:57:34.185;2:58:15.770;Joseph Loake;20:58:59.908;2:59:41.493;1:25.723;;88
11;Marcelo Tomasoni;20:58:05.166;2:58:46.751;Kyle Marcelli;20:59:48.650;3:00:30.235;1:43.484;;85
96;Patric Niederhauser;20:59:04.768;2:59:46.353;Luca Engstler;21:00:43.854;3:01:25.439;1:39.086;;87
88;Daniele Di Amato;20:59:25.632;3:00:07.217;Daniele Di Amato;21:01:51.782;3:02:33.367;2:26.150;;87
24;Lorenzo Fluxa Cross;20:59:41.637;3:00:23.222;Lorenzo Fluxa Cross;21:01:44.801;3:02:26.386;2:03.164;;88
60;Chandler Hull;20:59:49.930;3:00:31.515;Rolf Ineichen;21:01:20.092;3:02:01.677;1:30.162;;87
66;Ariel Levi;21:00:02.797;3:00:44.382; ;;;;;88
93;Eddie Cheever;21:00:03.785;3:00:45.370;Chris Froggatt;21:02:20.946;3:03:02.531;2:17.161;;88
56;Tom Wood;21:00:34.846;3:01:16.431;Tom Wood;21:03:03.841;3:03:45.426;2:28.995;;88
18;Roberto Merhi;21:01:23.331;3:02:04.916;Roberto Merhi;21:05:51.088;3:06:32.673;4:27.757;;89
84;Markus Winkelhock;21:02:23.196;3:03:04.781;Simon Reicher;21:03:52.144;3:04:33.729;1:28.948;;90
30;Ignacio Montenegro;21:02:32.364;3:03:13.949;Amaury Cordeel;21:03:59.791;3:04:41.376;1:27.427;;90
50;Lilou Wadoux;21:02:46.027;3:03:27.612;Sean Gelael;21:04:45.608;3:05:27.193;1:59.581;;90
25;Ivan Klymenko;21:03:23.486;3:04:05.071;Etienne Cheli;21:04:53.026;3:05:34.611;1:29.540;;90
914;Dominik Olbert;21:04:05.468;3:04:47.053;Gerhard Tweraser;21:05:35.964;3:06:17.549;1:30.496;;89
65;Eduardo Coseteng;21:04:28.311;3:05:09.896;Maxime Oosten;21:05:55.403;3:06:36.988;1:27.092;;91
80;Ricardo Feller;21:04:36.916;3:05:18.501;Ricardo Feller;21:06:03.706;3:06:45.291;1:26.790;;92
45;Dylan Medler;21:04:56.686;3:05:38.271;Rafael Duran;21:07:24.110;3:08:05.695;2:27.424;;90
32;Jordan Pepper;21:05:08.209;3:05:49.794;Charles Weerts;21:06:34.588;3:07:16.173;1:26.379;;92
98;Jake Dennis;21:05:20.186;3:06:01.771;Jake Dennis;21:06:47.010;3:07:28.595;1:26.824;;92
42;Javier Sagrera;21:05:28.511;3:06:10.096;Calan Williams;21:07:57.522;3:08:39.107;2:29.011;;91
992;Christian Hahn;21:05:33.770;3:06:15.355;Ashley Sutton;21:07:02.391;3:07:43.976;1:28.621;;91
99;Andrea Frassineti;21:05:50.368;3:06:31.953;Dylan Pereira;21:07:17.573;3:07:59.158;1:27.205;;92
21;Kobe Pauwels;21:06:17.574;3:06:59.159;Sebastien Baud;21:07:44.832;3:08:26.417;1:27.258;;92
48;Luca Stolz;21:06:22.545;3:07:04.130;Luca Stolz;21:07:49.420;3:08:31.005;1:26.875;;93
74;Lorenzo Patrese;21:06:34.968;3:07:16.553;Lorenzo Patrese;21:08:02.048;3:08:43.633;1:27.080;;91
9;Aliaksandr Malykhin;21:06:48.676;3:07:30.261;Max Hofer;21:08:17.305;3:08:58.890;1:28.629;;92
17;Maximilian Götz;21:07:11.778;3:07:53.363;Maximilian Götz;21:08:38.835;3:09:20.420;1:27.057;;93
52;Matias Zagazeta;21:07:20.574;3:08:02.159;Jeff Machiels;21:08:47.035;3:09:28.620;1:26.461;;92
111;Arthur Rougier;21:07:22.452;3:08:04.037;James Kell;21:08:49.535;3:09:31.120;1:27.083;;93
998;Tim Tramnitz;21:07:37.060;3:08:18.645;Ugo De Wilde;21:09:03.837;3:09:45.422;1:26.777;;93
64;Thomas Drouet;21:07:41.290;3:08:22.875;Thomas Drouet;21:09:08.182;3:09:49.767;1:26.892;;93
51;Tommaso Mosca;21:07:48.555;3:08:30.140;Tommaso Mosca;21:09:14.856;3:09:56.441;1:26.301;;93
222;Reece Barr;21:07:52.403;3:08:33.988;Reece Barr;21:09:20.830;3:10:02.415;1:28.427;;92
5;Guilherme Oliveira;21:08:25.730;3:09:07.315;Dante Rappange;21:09:53.453;3:10:35.038;1:27.723;;93
54;Francesco Simonazzi;21:08:27.997;3:09:09.582;Francesco Simonazzi;21:09:57.849;3:10:39.434;1:29.852;;92
3;Jules Gounon;21:08:41.088;3:09:22.673;Chris Lulham;21:10:07.000;3:10:48.585;1:25.912;;94
58;Benjamin Goethe;21:08:57.042;3:09:38.627;Louis Prette;21:10:23.910;3:11:05.495;1:26.868;;94
23;Maxwell Lynn;21:09:05.995;3:09:47.580;Maxwell Lynn;21:10:33.848;3:11:15.433;1:27.853;;92
60;Rolf Ineichen;21:09:09.268;3:09:50.853;Rolf Ineichen;21:19:13.328;3:19:54.913;10:04.060;;91
91;Robert Renauer;21:09:16.210;3:09:57.795;Robert Renauer;21:11:45.121;3:12:26.706;2:28.911;;93
35;Ethan Ischer;21:09:26.500;3:10:08.085;Gaspard Simon;21:10:53.952;3:11:35.537;1:27.452;;93
